tier;count;share_pct;actual_default_rate;avg_predicted_proba;color
Tier 1 — Prime;2623;52.459999999999994;2.85932138772398;2.6576884378009815;#2ecc71
Tier 2 — Standard;1144;22.88;7.517482517482517;7.3894225453530815;#3498db
Tier 3 — Elevated;451;9.02;13.303769401330376;12.220956240508476;#f39c12
Tier 4 — High Risk;782;15.64;23.52941176470588;24.651791494827613;#e74c3c
