model;auc_roc;average_precision;ks_statistic;fp_rate;fn_rate;total_cost_billions
Random Baseline;0.5;0.081;0.0;100.0;0.0;0.0
Logistic Regression;0.7604939625309531;0.2403868094364038;0.3907951222603646;30.078884997700666;30.996978851963743;2.2025215773
LightGBM Calibrated;0.7800522401727014;0.2675002070087325;0.4223742147489179;26.497223106583185;31.903323262839876;2.548848291
